Song,IntroLength,LoopPoint
somnom woods,790640,5886832
fawful castle,314512,3338903
cavi cape,336113,3222735
bowser castle ss,857843,3471337
grand finale,407547,4070802
victory ss,177615,855390
woohoo hooniversity,868151,2020613
temple of shrooms,402202,4198144
Fortune Island,143644,4241237
musee,586518,5282972
darkness falls,0,-1
rose battle,574939,4111286
diggy diggy hole,830720,9901440
cornered,287687,-1
pigstep,1026205,5009711
k.k. cornered,354683,2036520
k.k. roof,355076,5822852
k.k.'s mansion,226700,3225754
snif city,70081,3910172
origami king boss,106914,3876533
Origami King Boss Thinking,106914,3876533
King Bowser,1082521,4389314
King Bowser Thinking,1082521,4389314
stabby stabby souls,292528,7810979
brobot battle,102154,3118707
snifit or whiffit,72446,3391599
fawful is there,478336,1822756
where's toad,362441,2883661
scissors,350667,4539147
scissors thinking,350667,4539147
MEGALOVANIA,0,-1
the fanged fastener,204100,4744791
ASGORE,1058243,8107525
MEGALOVANIA Orchestra,815035,7164060
final bowser g1,852955,3569156
final bowser g2,1208724,3913340
cs miniboss,437531,4220170
battle with king olly,560324,4190460
rumble with wendy,161037,3276457
I'm not nice,643413,2566801
bouldergeist,306365,2505168
the marvelous duo,0,-1
meta knight,12911,-1
battle tower,355369,-1
the galaxy reactor,311823,-1
origami castle,1207429,-1
black bowser castle,45344,-1
